Id,Value
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,-2.418370662400003
8,-2.3639511040000003
9,-2.4183706623999988
10,-2.3639511040000003
11,-2.273251840000004
12,-11.363951104
13,-1.8701440000000018
14,-1.450240000000004
15,-1.8701440000000038
16,-1.450240000000004
17,-0.7504000000000028
18,-10.450239999999992
19,-2.3639511040000003
20,-2.27325184
21,-2.3639511040000003
22,-2.27325184
23,-2.122086400000004
24,-11.273251839999995
25,-2.49619150162493
26,-2.4977140223468353
27,-2.49619150162493
28,-2.4977102077568722
29,-11.494051139809114
30,-11.48630803994343
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,-2.49619150162493
38,-2.4977144283624404
39,-2.49619150162493
40,-2.4977140173399817
41,-11.492796179183483
42,-11.494155774261753
43,-2.482368063078398
44,-2.4894183830802503
45,-2.482368063078398
46,-2.4894087021294307
47,-11.481932639029049
48,-11.449226200756824
49,-2.273251840000004
50,-2.363932652515497
51,-2.4182111224994842
52,-2.363876603201545
53,-11.3618836508359
54,-11.35729342984692
55,-2.470613438464001
56,-2.4823607247524713
57,-2.489378575095233
58,-2.4823648919045587
59,-11.478404927343185
60,-11.473131885335532
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,-2.4510223974400023
68,-2.4705800230393513
69,-2.4823599922147346
70,-2.4705866271365546
71,-11.464953731289707
72,-11.465139583961019
73,-2.4894208378470393
74,-2.4936420647712945
75,-2.4894208378470393
76,-2.4936478931173194
77,-11.490724610112842
78,-11.486902540828243
79,-2.470613438464001
80,-2.482348806782504
81,-2.470613438464001
82,-2.4823506164691347
83,-11.456084241073867
84,-11.481112632020524
85,-2.4894208378470393
86,-2.4936498336049437
87,-2.4894208378470393
88,-2.493647535770703
89,-11.460891088153502
90,-11.49005996992423
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,5.599999999999993
98,10.999999999999991
99,5.599999999999993
100,10.999999999999991
101,1.9999999999999922
102,19.99999999999999
103,-2.122086400000004
104,-2.27325184
105,-2.122086400000004
106,-2.27325184
107,-11.273251839999995
108,-2.3639511040000003
109,0.41599999999999737
110,-0.7504000000000028
111,-1.450240000000004
112,-0.7504000000000028
113,-9.750399999999994
114,-1.450240000000004
115,-1.8701440000000038
116,-2.1220864
117,-1.8701440000000038
118,-2.1220864
119,-11.122086399999999
120,-2.27325184
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,-2.451022397439998
128,-2.4183706623999988
129,-2.4183706623999988
130,-2.3639511040000003
131,-11.418370662400003
132,-11.418370662400003
133,-2.1220864
134,-1.8701440000000038
135,-1.8701440000000038
136,-1.450240000000004
137,-10.87014399999999
138,-10.87014399999999
139,-2.4183703747888927
140,-2.363949354738827
141,-2.363947049117563
142,-2.273251840000004
143,-11.363783017165677
144,-11.36376748445984
145,-2.493652502708222
146,-2.496184950334544
147,-2.4961894294803266
